,timestamp,open,high,low,close,volume,current,next_close,target,rsi,macd,macd_diff,ema,bollinger_mavg,bollinger_hband,bollinger_lband,stochastic_oscillator,stochastic,cci,williams_r,roc,atr,mfi,obv,force_index,tsi,ultimate_oscillator,kama,dpo,mid_channel,upper_channel,lower_channel
0,2024-05-17 08:00:00,66386.15,66562.9,66070.73,66215.44,286.400502,0,67190.72,1,68.9617009119346,1110.583219154003,78.1820769703586,65183.71573984641,64269.46100000001,68200.35263841947,60338.56936158054,88.83462469097385,88.83462469097385,74.92089401225876,-11.16537530902614,5.997685883311915,863.9535891352356,73.58678523515374,1371.307595,45624.05543610009,32.2306468515137,58.59221994791001,65656.9455113884,452.2989999999918,66650.47085714285,67686.34879576249,65614.59291852321
1,2024-05-17 12:00:00,66201.4,67438.03,65828.6,67190.72,436.254767,0,67042.11,0,73.76278780780524,1173.7964872362645,113.11627604209593,65451.316307866895,64527.349,68513.8572058408,60540.8407941592,95.50541581855194,95.50541581855194,86.6593460534279,-4.494584181448052,3.8147293893120318,917.201904197004,74.63595836107869,1807.5623620000001,99887.84025376572,33.94547189656764,61.45480869723091,65715.65906558023,1486.9109999999928,66680.16142857142,67563.27623912983,65797.046618013
2,2024-05-17 16:00:00,67195.77,67293.93,66219.16,67042.11,393.847968,0,67020.37,0,71.93680699703901,1198.091025053007,109.92865108707065,65663.42213348465,64789.5605,68712.82859756089,60866.29240243911,92.11009832485067,92.11009832485067,82.56875930779769,-7.889901675149329,1.5570120758757364,928.4567681829315,74.94305267131006,1413.714394,77256.75642830202,34.75611986902086,66.94170745209155,65773.33497530478,1418.9395000000004,66568.02885714285,67136.92837397245,65999.12934031326
3,2024-05-17 20:00:00,67007.57,67066.85,66674.77,67020.37,196.175268,0,66944.31,0,71.65734946717126,1201.73750311396,90.86010331841885,65844.3485156867,65051.324,68833.90217783797,61268.745822162025,85.21416206150661,85.21416206150661,81.82040004838315,-14.785837938493382,1.2262322813535957,890.1441418841507,73.56463357849012,1217.5391260000001,65610.81260621302,35.31955773210408,69.26737845052172,65816.69837555391,930.7860000000001,66641.49599999998,67174.92431835279,66108.06768164718
4,2024-05-18 00:00:00,67020.56,67085.67,66738.95,66944.31,244.79387,0,66885.61,0,70.6236453311734,1184.8319517017153,59.163641524939294,65991.01004692847,65318.81100000001,68832.86137623483,61804.76062376519,82.5215153306687,82.5215153306687,81.07592816090767,-17.478484669331294,1.458274068531602,851.3281317495686,72.70201317799552,972.7452560000002,53577.979126439815,35.5053573984655,69.7502232738652,65835.55694611771,834.0089999999982,66814.37314285713,67341.39639061138,66287.34989510289
5,2024-05-18 04:00:00,66944.9,67234.93,66734.09,66885.61,215.209735,0,67192.15,1,69.78693315170189,1153.4018820573547,22.186857504462978,66110.29004067133,65584.2695,68707.82210349158,62460.71689650841,80.44344061202312,80.44344061202312,81.68320523779019,-19.556559387976872,1.107722996540425,826.2932651960276,72.07045023973595,757.5355210000001,44119.29475916279,35.44651404637758,67.91264046070164,65903.71241063655,929.7305000000051,66973.33171428571,67474.80356411159,66471.85986445984
6,2024-05-18 08:00:00,66885.45,67372.75,66837.18,67192.15,292.118781,0,66815.99,0,71.67423491051565,1140.0863359592622,7.097049125096419,66254.5380352485,65846.3415,68558.97102621457,63133.71197378543,91.29545124666764,91.29545124666764,93.34344450574024,-8.704548753332354,1.0195597919234962,805.5273176820261,71.90273215608966,1049.6543020000001,50608.837097530704,35.93179159582686,66.16607461170547,66194.99015098235,-24.001499999998487,67159.42742857143,67647.9979911725,66670.85686597037
7,2024-05-18 12:00:00,67190.12,67228.34,66598.72,66815.99,308.534017,0,66910.59,1,66.20871089147136,1086.6544256435736,-37.06788895247382,66329.39829721536,66077.39850000001,68237.53164526932,63917.265354730705,77.97878027280503,77.97878027280503,77.55671872002223,-22.02121972719497,1.5095938552169503,792.9625092761669,72.20068698642163,741.1202850000002,26799.26667863824,34.92834761622595,65.12967085954458,66272.87163780595,-930.3185000000085,67238.61085714285,67714.84767067916,66762.37404360654
8,2024-05-18 16:00:00,66816.15,66992.78,66717.83,66910.59,159.397927,0,66914.3,1,66.89246322201723,1039.9547303746585,-67.01406737711113,66406.89052425332,66299.49,67714.85706129544,64884.12293870457,81.32777291988958,81.32777291988958,74.90088563234129,-18.67222708011042,2.70696706590686,755.9616157564404,67.41808873766362,900.5182120000002,25124.94913800401,34.27678606763684,61.00736663959001,66341.41151702688,-1062.4100000000035,67374.76942857142,67787.57803398174,66961.9608231611
9,2024-05-18 20:00:00,66910.93,67038.69,66803.69,66914.3,132.327245,0,67165.43,1,66.92073267454492,991.8112684930238,-92.12602340699664,66474.54512101955,66409.117,67647.23794656542,65170.996053434574,81.45911290636639,81.45911290636639,73.77755542299202,-18.54088709363361,2.5709611772936514,718.7500717738376,76.69763814705321,1032.8454570000001,21605.804129567845,33.742172673168106,58.2580177987374,66365.9640723854,-822.6269999999931,67401.74228571428,67832.48285291424,66971.00171851432
